Frequency (Hz)	Level (dB)
1540.969849	-57.633709
1542.315674	-57.555935
1543.661499	-57.483170
1545.007324	-57.429306
1546.353149	-57.392876
1547.698975	-57.359833
1549.044800	-57.345814
1550.390625	-57.334026
1551.736450	-57.320686
1553.082275	-57.316254
1554.428101	-57.307426
1555.773926	-57.290627
1557.119751	-57.239605
1558.465576	-57.188976
1559.811401	-57.122097
1561.157227	-57.000687
1562.503052	-56.845592
1563.848877	-56.654655
1565.194702	-56.406776
1566.540527	-56.112007
1567.886353	-55.771675
1569.232178	-55.372601
1570.578003	-54.936954
1571.923828	-54.453411
1573.269653	-53.937515
1574.615479	-53.401955
1575.961304	-52.835152
1577.307129	-52.266411
1578.652954	-51.688686
1579.998779	-51.111004
1581.344604	-50.536442
1582.690430	-49.975384
1584.036255	-49.431759
1585.382080	-48.915318
1586.727905	-48.431343
1588.073730	-47.985752
1589.419556	-47.588596
1590.765381	-47.251492
1592.111206	-46.975864
1593.457031	-46.769207
1594.802856	-46.641068
1596.148682	-46.594128
1597.494507	-46.623741
1598.840332	-46.728611
1600.186157	-46.906414
1601.531982	-47.154381
1602.877808	-47.465508
1604.223633	-47.829247
1605.569458	-48.241051
1606.915283	-48.691525
1608.261108	-49.167629
1609.606934	-49.671753
1610.952759	-50.194710
1612.298584	-50.731392
1613.644409	-51.271301
1614.990234	-51.810783
1616.336060	-52.354427
1617.681885	-52.891407
1619.027710	-53.393394
1620.373535	-53.887676
1621.719360	-54.355301
1623.065186	-54.782459
1624.411011	-55.173241
1625.756836	-55.526035
1627.102661	-55.808865
1628.448486	-56.072830
1629.794312	-56.266941
1631.140137	-56.428478
1632.485962	-56.537025
1633.831787	-56.627613
1635.177612	-56.683804
1636.523438	-56.708855
1637.869263	-56.721584
1639.215088	-56.724030
1640.560913	-56.715275
1641.906738	-56.706135
1643.252563	-56.701279
1644.598389	-56.701092
