Frequency (Hz)	Level (dB)
752.316284	-67.726196
753.662109	-67.865829
755.007935	-67.978424
756.353760	-68.135948
757.699585	-68.299385
759.045410	-68.480995
760.391235	-68.563568
761.737061	-68.655403
763.082886	-68.750351
764.428711	-68.798233
765.774536	-68.781769
767.120361	-68.770424
768.466187	-68.681412
769.812012	-68.590401
771.157837	-68.440483
772.503662	-68.227089
773.849487	-67.984604
775.195312	-67.745407
776.541138	-67.487160
777.886963	-67.185249
779.232788	-66.841660
780.578613	-66.523575
781.924438	-66.231010
783.270264	-65.921898
784.616089	-65.590340
785.961914	-65.286758
787.307739	-65.020844
788.653564	-64.735779
789.999390	-64.457085
791.345215	-64.216309
792.691040	-63.990322
794.036865	-63.759647
795.382690	-63.556828
796.728516	-63.393803
798.074341	-63.239063
799.420166	-63.085228
800.765991	-62.939579
802.111816	-62.813667
803.457642	-62.705589
804.803467	-62.604008
806.149292	-62.521626
807.495117	-62.472347
808.840942	-62.457077
810.186768	-62.435856
811.532593	-62.395916
812.878418	-62.392117
814.224243	-62.389378
815.570068	-62.371288
816.915894	-62.378216
818.261719	-62.387424
819.607544	-62.358322
820.953369	-62.299030
822.299194	-62.240780
823.645020	-62.223457
824.990845	-62.084049
826.336670	-61.903893
827.682495	-61.738464
829.028320	-61.511795
830.374146	-61.203533
831.719971	-60.835377
833.065796	-60.475014
834.411621	-59.994488
835.757446	-59.541157
837.103271	-59.024494
838.449097	-58.499596
839.794922	-57.925156
841.140747	-57.353489
842.486572	-56.786091
843.832397	-56.208824
845.178223	-55.647839
846.524048	-55.093193
847.869873	-54.526703
849.215698	-53.983566
850.561523	-53.480225
851.907349	-53.010399
853.253174	-52.559765
854.598999	-52.146736
855.944824	-51.788094
857.290649	-51.496899
858.636475	-51.283997
859.982300	-51.137260
861.328125	-51.062145
862.673950	-51.077461
864.019775	-51.183899
865.365601	-51.368690
866.711426	-51.611263
868.057251	-51.939243
869.403076	-52.334850
870.748901	-52.752331
872.094727	-53.204197
873.440552	-53.707752
874.786377	-54.239075
876.132202	-54.812729
877.478027	-55.374416
878.823853	-55.918846
880.169678	-56.490181
881.515503	-57.058418
882.861328	-57.566250
884.207153	-58.060047
885.552979	-58.574440
886.898804	-59.040596
888.244629	-59.359451
889.590454	-59.710217
890.936279	-60.079720
892.282104	-60.336636
893.627930	-60.487968
894.973755	-60.662491
896.319580	-60.851883
897.665405	-60.929596
899.011230	-60.981613
900.357056	-61.024086
901.702881	-61.060802
903.048706	-61.084625
904.394531	-61.121826
905.740356	-61.111740
907.086182	-61.139847
908.432007	-61.141167
909.777832	-61.155598
911.123657	-61.228710
912.469482	-61.249134
913.815308	-61.297222
915.161133	-61.386944
916.506958	-61.447754
917.852783	-61.528454
919.198608	-61.663311
920.544434	-61.803524
921.890259	-61.946167
923.236084	-62.093647
924.581909	-62.269226
925.927734	-62.464710
927.273560	-62.650486
928.619385	-62.868309
929.965210	-63.140255
931.311035	-63.403263
932.656860	-63.627281
934.002686	-63.889111
935.348511	-64.202667
936.694336	-64.497475
938.040161	-64.805138
939.385986	-65.116463
940.731812	-65.457726
942.077637	-65.760452
943.423462	-66.004341
944.769287	-66.313301
946.115112	-66.550537
947.460938	-66.781273
948.806763	-67.012520
950.152588	-67.173218
951.498413	-67.274498
952.844238	-67.320923
954.190063	-67.403893
955.535889	-67.424202
956.881714	-67.355644
958.227539	-67.230316
959.573364	-67.142685
960.919189	-67.002876
962.265015	-66.848389
963.610840	-66.681427
964.956665	-66.551270
966.302490	-66.377075
967.648315	-66.215118
968.994141	-66.075233
970.339966	-65.917526
971.685791	-65.804581
973.031616	-65.685974
974.377441	-65.548859
975.723267	-65.465897
977.069092	-65.427597
978.414917	-65.391563
979.760742	-65.358711
981.106567	-65.337257
982.452393	-65.335785
983.798218	-65.365608
985.144043	-65.413704
986.489868	-65.467598
987.835693	-65.536934
989.181519	-65.627922
990.527344	-65.758911
991.873169	-65.890793
993.218994	-66.007629
994.564819	-66.172997
995.910645	-66.343811
997.256470	-66.509903
998.602295	-66.726234
999.948120	-66.954697
1001.293945	-67.151459
1002.639771	-67.328842
1003.985596	-67.531555
1005.331421	-67.757736
1006.677246	-67.880096
1008.023071	-68.021400
1009.368896	-68.156189
1010.714722	-68.242165
1012.060547	-68.285408
1013.406372	-68.315727
1014.752197	-68.317734
1016.098022	-68.214211
1017.443848	-68.087029
1018.789673	-67.937546
1020.135498	-67.745094
1021.481323	-67.551628
1022.827148	-67.327415
1024.172974	-67.024475
1025.518799	-66.773491
1026.864624	-66.548233
1028.210449	-66.328232
1029.556274	-66.075958
1030.902100	-65.824669
1032.247925	-65.606117
1033.593750	-65.408981
1034.939575	-65.191734
1036.285400	-65.003159
1037.631226	-64.835464
1038.977051	-64.672150
1040.322876	-64.547447
1041.668701	-64.448540
1043.014526	-64.357613
1044.360352	-64.267899
1045.706177	-64.194656
1047.052002	-64.157547
1048.397827	-64.139107
1049.743652	-64.142174
1051.089478	-64.146240
1052.435303	-64.162979
1053.781128	-64.212509
1055.126953	-64.265999
1056.472778	-64.327820
1057.818604	-64.435120
1059.164429	-64.538475
1060.510254	-64.613396
1061.856079	-64.715073
1063.201904	-64.844955
1064.547729	-64.931290
1065.893555	-65.019241
1067.239380	-65.117271
1068.585205	-65.161003
1069.931030	-65.218559
1071.276855	-65.201401
1072.622681	-65.184120
1073.968506	-65.103836
1075.314331	-64.964058
1076.660156	-64.791740
1078.005981	-64.596046
1079.351807	-64.346817
1080.697632	-64.050873
1082.043457	-63.746399
1083.389282	-63.409981
1084.735107	-63.034698
1086.080933	-62.679520
1087.426758	-62.318878
1088.772583	-61.918644
1090.118408	-61.541981
1091.464233	-61.155804
1092.810059	-60.793266
1094.155884	-60.414589
1095.501709	-60.047062
1096.847534	-59.711983
1098.193359	-59.377518
1099.539185	-59.061207
1100.885010	-58.759445
1102.230835	-58.473885
1103.576660	-58.210789
1104.922485	-57.953583
1106.268311	-57.707165
1107.614136	-57.471489
1108.959961	-57.249596
1110.305786	-57.044609
1111.651611	-56.849888
1112.997437	-56.672432
1114.343262	-56.500401
1115.689087	-56.345757
1117.034912	-56.200985
1118.380737	-56.058392
1119.726562	-55.924889
1121.072388	-55.800400
1122.418213	-55.663712
1123.764038	-55.529068
1125.109863	-55.385689
1126.455688	-55.237625
1127.801514	-55.083828
1129.147339	-54.904198
1130.493164	-54.682785
1131.838989	-54.449120
1133.184814	-54.167198
1134.530640	-53.848972
1135.876465	-53.508995
1137.222290	-53.141647
1138.568115	-52.745872
1139.913940	-52.354786
1141.259766	-51.985954
1142.605591	-51.640461
1143.951416	-51.343159
1145.297241	-51.095951
1146.643066	-50.917381
1147.988892	-50.810123
1149.334717	-50.776497
1150.680542	-50.807220
1152.026367	-50.897854
1153.372192	-51.039482
1154.718018	-51.224007
1156.063843	-51.448181
1157.409668	-51.707081
1158.755493	-51.994740
1160.101318	-52.299805
1161.447144	-52.622154
1162.792969	-52.960293
1164.138794	-53.310623
1165.484619	-53.677128
1166.830444	-54.052925
1168.176270	-54.441074
1169.522095	-54.841858
1170.867920	-55.247623
1172.213745	-55.659515
1173.559570	-56.072933
1174.905396	-56.501110
1176.251221	-56.946098
1177.597046	-57.377831
1178.942871	-57.822109
1180.288696	-58.274841
1181.634521	-58.728603
1182.980347	-59.174908
1184.326172	-59.618591
1185.671997	-60.062328
1187.017822	-60.507607
1188.363647	-60.925911
1189.709473	-61.329906
1191.055298	-61.733891
1192.401123	-62.069199
1193.746948	-62.376057
1195.092773	-62.659801
1196.438599	-62.866776
1197.784424	-63.070969
1199.130249	-63.221451
1200.476074	-63.296295
1201.821899	-63.375057
1203.167725	-63.391033
1204.513550	-63.375690
1205.859375	-63.344673
1207.205200	-63.271717
1208.551025	-63.204132
1209.896851	-63.092110
1211.242676	-63.007168
1212.588501	-62.936005
1213.934326	-62.843891
1215.280151	-62.771996
1216.625977	-62.707005
1217.971802	-62.637161
1219.317627	-62.590721
1220.663452	-62.572884
1222.009277	-62.558014
1223.355103	-62.548378
1224.700928	-62.559799
1226.046753	-62.605473
1227.392578	-62.660400
1228.738403	-62.726807
1230.084229	-62.811714
1231.430054	-62.912479
1232.775879	-63.032661
1234.121704	-63.180683
1235.467529	-63.351185
1236.813354	-63.520599
1238.159180	-63.697628
1239.505005	-63.904682
1240.850830	-64.134094
1242.196655	-64.362259
1243.542480	-64.589813
1244.888306	-64.840462
1246.234131	-65.119331
1247.579956	-65.362343
1248.925781	-65.635986
1250.271606	-65.890434
1251.617432	-66.085243
1252.963257	-66.274460
1254.309082	-66.465446
1255.654907	-66.622421
1257.000732	-66.740044
1258.346558	-66.813286
1259.692383	-66.870468
1261.038208	-66.822350
1262.384033	-66.827621
1263.729858	-66.736763
1265.075684	-66.581688
1266.421509	-66.452171
1267.767334	-66.258171
1269.113159	-66.095894
1270.458984	-65.918869
1271.804810	-65.718422
1273.150635	-65.520256
1274.496460	-65.337715
1275.842285	-65.157829
1277.188110	-64.983986
1278.533936	-64.813583
1279.879761	-64.681297
1281.225586	-64.568001
1282.571411	-64.454231
1283.917236	-64.361641
1285.263062	-64.287437
1286.608887	-64.229828
1287.954712	-64.193352
1289.300537	-64.171410
1290.646362	-64.164955
1291.992188	-64.176826
1293.338013	-64.214363
1294.683838	-64.262665
1296.029663	-64.323204
1297.375488	-64.413513
1298.721313	-64.523056
1300.067139	-64.645264
1301.412964	-64.779282
1302.758789	-64.923073
1304.104614	-65.080345
1305.450439	-65.277626
1306.796265	-65.441986
1308.142090	-65.617821
1309.487915	-65.824417
1310.833740	-65.999275
1312.179565	-66.154793
1313.525391	-66.283333
1314.871216	-66.411530
1316.217041	-66.518433
1317.562866	-66.578125
1318.908691	-66.601738
1320.254517	-66.597916
1321.600342	-66.529610
1322.946167	-66.428513
1324.291992	-66.293167
1325.637817	-66.117493
1326.983643	-65.916794
1328.329468	-65.653107
1329.675293	-65.385330
1331.021118	-65.119644
1332.366943	-64.855431
1333.712769	-64.567818
1335.058594	-64.279961
1336.404419	-64.014236
1337.750244	-63.747955
1339.096069	-63.489052
1340.441895	-63.244366
1341.787720	-63.007988
1343.133545	-62.792404
1344.479370	-62.593082
1345.825195	-62.409412
1347.171021	-62.245090
1348.516846	-62.095181
1349.862671	-61.955608
1351.208496	-61.834953
1352.554321	-61.738556
1353.900146	-61.662498
1355.245972	-61.600708
1356.591797	-61.555744
1357.937622	-61.522057
1359.283447	-61.507103
1360.629272	-61.524193
1361.975098	-61.544498
1363.320923	-61.567596
1364.666748	-61.616451
1366.012573	-61.650341
1367.358398	-61.692650
1368.704224	-61.755764
1370.050049	-61.841473
1371.395874	-61.900459
1372.741699	-61.934414
1374.087524	-61.965561
1375.433350	-61.986065
1376.779175	-61.972630
1378.125000	-61.911777
1379.470825	-61.819038
1380.816650	-61.662663
1382.162476	-61.496605
1383.508301	-61.276325
1384.854126	-60.998653
1386.199951	-60.664711
1387.545776	-60.327793
1388.891602	-59.942585
1390.237427	-59.525642
1391.583252	-59.101215
1392.929077	-58.637859
1394.274902	-58.169861
1395.620728	-57.707436
1396.966553	-57.244850
1398.312378	-56.767838
1399.658203	-56.289509
1401.004028	-55.829720
1402.349854	-55.377308
1403.695679	-54.927673
1405.041504	-54.487022
1406.387329	-54.062229
1407.733154	-53.652027
1409.078979	-53.250919
1410.424805	-52.852875
1411.770630	-52.464851
1413.116455	-52.087456
1414.462280	-51.724178
1415.808105	-51.380028
1417.153931	-51.052406
1418.499756	-50.737865
1419.845581	-50.440754
1421.191406	-50.170734
1422.537231	-49.925045
1423.883057	-49.707920
1425.228882	-49.527752
1426.574707	-49.382324
1427.920532	-49.291359
1429.266357	-49.250183
1430.612183	-49.247166
1431.958008	-49.322613
1433.303833	-49.456417
1434.649658	-49.636665
1435.995483	-49.866161
1437.341309	-50.147758
1438.687134	-50.447468
1440.032959	-50.786842
1441.378784	-51.115776
1442.724609	-51.448463
1444.070435	-51.779331
1445.416260	-52.096279
1446.762085	-52.372379
1448.107910	-52.647198
1449.453735	-52.882511
1450.799561	-53.097008
1452.145386	-53.298710
1453.491211	-53.477943
1454.837036	-53.638695
1456.182861	-53.793781
1457.528687	-53.939903
1458.874512	-54.071167
1460.220337	-54.209961
1461.566162	-54.359318
1462.911987	-54.507824
1464.257812	-54.656441
1465.603638	-54.808350
1466.949463	-54.978592
1468.295288	-55.159481
1469.641113	-55.352852
1470.986938	-55.552937
1472.332764	-55.754860
1473.678589	-55.975536
1475.024414	-56.213623
1476.370239	-56.463837
1477.716064	-56.720573
1479.061890	-56.987217
1480.407715	-57.279446
1481.753540	-57.584393
1483.099365	-57.890533
1484.445190	-58.213428
1485.791016	-58.557644
1487.136841	-58.903187
1488.482666	-59.240047
1489.828491	-59.608288
1491.174316	-59.982517
1492.520142	-60.343754
1493.865967	-60.704594
1495.211792	-61.054745
1496.557617	-61.378834
1497.903442	-61.699726
1499.249268	-61.986526
1500.595093	-62.265091
1501.940918	-62.476868
1503.286743	-62.657757
1504.632568	-62.794083
1505.978394	-62.879410
1507.324219	-62.937801
1508.670044	-62.961979
1510.015869	-62.928337
1511.361694	-62.851116
1512.707520	-62.781792
1514.053345	-62.671925
1515.399170	-62.544422
1516.744995	-62.412510
1518.090820	-62.295231
1519.436646	-62.173679
1520.782471	-62.059685
1522.128296	-61.946945
1523.474121	-61.840019
1524.819946	-61.755402
1526.165771	-61.683075
1527.511597	-61.610592
1528.857422	-61.557133
1530.203247	-61.537640
1531.549072	-61.532021
1532.894897	-61.542767
1534.240723	-61.563339
1535.586548	-61.596252
1536.932373	-61.649899
1538.278198	-61.739662
1539.624023	-61.841145
1540.969849	-61.951843
1542.315674	-62.097107
1543.661499	-62.247078
1545.007324	-62.407040
1546.353149	-62.582474
1547.698975	-62.784908
1549.044800	-63.000648
1550.390625	-63.206585
1551.736450	-63.422176
1553.082275	-63.663994
1554.428101	-63.898491
1555.773926	-64.123230
1557.119751	-64.335091
1558.465576	-64.552399
1559.811401	-64.751358
1561.157227	-64.920219
1562.503052	-65.029564
1563.848877	-65.130966
1565.194702	-65.212830
1566.540527	-65.201508
1567.886353	-65.168694
1569.232178	-65.091866
1570.578003	-64.996185
1571.923828	-64.839241
1573.269653	-64.677895
1574.615479	-64.476837
1575.961304	-64.262772
1577.307129	-64.059052
1578.652954	-63.823063
1579.998779	-63.601513
1581.344604	-63.390408
1582.690430	-63.177788
1584.036255	-62.961407
1585.382080	-62.770069
1586.727905	-62.603558
1588.073730	-62.443413
1589.419556	-62.293877
1590.765381	-62.169189
1592.111206	-62.056435
1593.457031	-61.964619
1594.802856	-61.897961
1596.148682	-61.841599
1597.494507	-61.802113
1598.840332	-61.791294
1600.186157	-61.797962
1601.531982	-61.810780
1602.877808	-61.845165
1604.223633	-61.898949
1605.569458	-61.962528
1606.915283	-62.058887
1608.261108	-62.168339
1609.606934	-62.291943
1610.952759	-62.416763
1612.298584	-62.546711
1613.644409	-62.680981
1614.990234	-62.832233
1616.336060	-62.996189
1617.681885	-63.130173
1619.027710	-63.265354
1620.373535	-63.388245
1621.719360	-63.467102
1623.065186	-63.526871
1624.411011	-63.556519
1625.756836	-63.537868
1627.102661	-63.506721
1628.448486	-63.395485
1629.794312	-63.256157
1631.140137	-63.080994
1632.485962	-62.853069
1633.831787	-62.619099
1635.177612	-62.339203
1636.523438	-62.034798
1637.869263	-61.738178
1639.215088	-61.418076
1640.560913	-61.104298
1641.906738	-60.783268
1643.252563	-60.476009
1644.598389	-60.169121
